sku,hts,upc,name,description,productCategoryId,imageUrl,itemPrice,barcode,packageTypeId,packageWeight,packageVolume,innerQuantity,packageHeight,packageLength,packageWidth,color,size,msrp,stockCode,materials,udf1,udf2,udf3,udf4,udf5,itemWeight,itemHeight,itemLength,itemWidth,packageSize,packageNetWeight,style,colorCode,itemVolume,packageBarcode,partNumber,vendorColor,vendorFinish,vendorLine,vendorSKU
*SKU,HTS#,UPC#,*Name,Description,Category,IMAGE,Price Each (USD),Package Bar Code,Package Type,Package Weight (KG),Package Volume (CBM),Inner QTY,Package Height (CM),Package Length (CM),Package Width (CM),Color,Size,MSRP,Stock Code,Materials,UDF1,UDF2,UDF3,UDF4,UDF5,Product Net Weight (KG),Product Height (CM),Product Length (CM),Product Width (CM),Package Size (CM),Package Net Weight (KG),Style,Color Code,Item Volume,Package Bar Code,Part Number,Vendor Color,Vendor Finish,Vendor Line,Vendor SKU
1234,1234567890,123,Test Product 01,Test Product Description,A,,12,123123123,123123,123,123,1,123,123,13,red,large,23,12334122134,wood,1,1,1,1,1,12,12,12,12,12,12,12,232,12,1212121212,12,red,red,123,1.23E+11
1235,1234567890,123,Test Product 02,Test Product Description,B,,13,123123123,123123,124,124,2,124,123,13,red,large,23,12334122134,wood,1,1,1,1,1,12,12,12,12,12,12,12,232,12,1212121212,12,red,red,123,1.23E+11
1236,1234567890,123,Test Product 03,Test Product Description,C,,14,123123123,123123,125,125,3,125,123,13,red,large,23,12334122134,wood,1,1,1,1,1,12,12,12,12,12,12,12,232,12,1212121212,12,red,red,123,1.23E+11
1237,1234567890,123,Test Product 04,Test Product Description,A,,15,123123123,123123,126,126,4,126,123,13,red,large,23,12334122134,wood,1,1,1,1,1,12,12,12,12,12,12,12,232,12,1212121212,12,red,red,123,1.23E+11
1238,1234567890,123,Test Product 06,Test Product Description,B,,16,123123123,123123,127,127,5,127,123,13,red,large,23,12334122134,wood,1,1,1,1,1,12,12,12,12,12,12,12,232,12,1212121212,12,red,red,123,1.23E+11
1239,1234567890,123,Test Product 07,Test Product Description,C,,17,123123123,123123,128,128,6,128,123,13,red,large,23,12334122134,wood,1,1,1,1,1,12,12,12,12,12,12,12,232,12,1212121212,12,red,red,123,1.23E+11
1240,1234567890,123,Test Product 08,Test Product Description,A,,18,123123123,123123,129,129,7,129,123,13,red,large,23,12334122134,wood,1,1,1,1,1,12,12,12,12,12,12,12,232,12,1212121212,12,red,red,123,1.23E+11
1241,1234567890,123,Test Product 09,Test Product Description,B,,19,123123123,123123,130,130,8,130,123,13,red,large,23,12334122134,wood,1,1,1,1,1,12,12,12,12,12,12,12,232,12,1212121212,12,red,red,123,1.23E+11
1242,1234567890,123,Test Product 10,Test Product Description,C,,20,123123123,123123,131,131,9,131,123,13,red,large,23,12334122134,wood,1,1,1,1,1,12,12,12,12,12,12,12,232,12,1212121212,12,red,red,123,1.23E+11
1243,1234567890,123,Test Product 11,Test Product Description,A,,21,123123123,123123,132,132,10,132,123,13,red,large,23,12334122134,wood,1,1,1,1,1,12,12,12,12,12,12,12,232,12,1212121212,12,red,red,123,1.23E+11
1244,1234567890,123,Test Product 12,Test Product Description,B,,22,123123123,123123,133,133,11,133,123,13,red,large,23,12334122134,wood,1,1,1,1,1,12,12,12,12,12,12,12,232,12,1212121212,12,red,red,123,1.23E+11
1245,1234567890,123,Test Product 13,Test Product Description,C,,23,123123123,123123,134,134,12,134,123,13,red,large,23,12334122134,wood,1,1,1,1,1,12,12,12,12,12,12,12,232,12,1212121212,12,red,red,123,1.23E+11
